,0,1,2,3,4,5,6
86,SZSE.000002,14,28,2017-12-27,2018-12-26,1.105,-0.181
87,SZSE.000333,9,18,2017-12-27,2018-12-26,1.152,-0.101
88,SZSE.000333,13,26,2017-12-27,2018-12-26,0.942,-0.24
89,SZSE.000333,14,28,2017-12-27,2018-12-26,0.965,-0.217
90,SZSE.002456,9,18,2017-12-27,2018-12-26,1.085,-0.208
91,SZSE.002456,13,26,2017-12-27,2018-12-26,0.981,-0.208
92,SZSE.002456,14,28,2017-12-27,2018-12-26,1.093,-0.15
93,SHSE.601318,9,18,2017-12-27,2018-12-26,1.1,-0.102
94,SHSE.601318,13,26,2017-12-27,2018-12-26,1.108,-0.125
95,SHSE.601318,14,28,2017-12-27,2018-12-26,1.084,-0.143
96,SHSE.600508,9,18,2017-12-27,2018-12-26,0.914,-0.142
97,SHSE.600508,13,26,2017-12-27,2018-12-26,0.826,-0.216
98,SHSE.600508,14,28,2017-12-27,2018-12-26,0.823,-0.195
99,SHSE.600660,9,18,2017-12-27,2018-12-26,1.153,-0.1
100,SHSE.600660,13,26,2017-12-27,2018-12-26,1.066,-0.121
101,SHSE.600660,14,28,2017-12-27,2018-12-26,1.084,-0.121
102,SHSE.603288,9,18,2017-12-27,2018-12-26,1.093,-0.179
103,SHSE.603288,13,26,2017-12-27,2018-12-26,1.206,-0.13
104,SHSE.603288,14,28,2017-12-27,2018-12-26,1.091,-0.14
