f,s,return,mdd,efc
9,18,1.1733428571428572,-0.13842857142857148,1.999419287583344
13,26,1.1530285714285715,-0.14545714285714287,1.956855781259225
14,28,1.1552285714285715,-0.1368285714285714,1.9114784609636064
