,0,1,2,3
0,5,0.9,0.5624888130524008,-0.69
1,6,0.9,1.4488330071507234,-0.284
2,7,0.9,0.9267130626909729,-0.237
3,8,0.9,1.2483114882137518,-0.226
4,9,0.9,1.2183061080980808,-0.317
5,10,0.9,1.3191403048490822,-0.315
6,11,0.9,1.0243587450575222,-0.427
7,12,0.9,1.304786119413928,-0.35
8,13,0.9,1.1638516046189171,-0.383
9,14,0.9,1.5301095649043355,-0.378
10,15,0.9,1.1287373554109636,-0.488
11,16,0.9,2.205022336009413,-0.256
12,17,0.9,1.6611496136815997,-0.301
13,18,0.9,1.497038406313021,-0.275
14,19,0.9,1.5604465516895412,-0.234
15,20,0.9,1.107174455969504,-0.345
16,21,0.9,0.7671764315352785,-0.467
17,22,0.9,0.9142666507411749,-0.419
18,23,0.9,0.6397151653719155,-0.533
19,24,0.9,0.9090325330519687,-0.473
20,25,0.9,0.8215287921578805,-0.516
21,26,0.9,1.1079683970454128,-0.361
22,27,0.9,1.0733709930088475,-0.315
23,28,0.9,1.258626243664992,-0.358
24,29,0.9,1.2808241126695803,-0.343
25,30,0.9,1.5374399843428983,-0.344
26,31,0.9,1.3158681138590842,-0.34
