,N,S,return,mdd
0,5,0.0,0.6028795671119563,-0.617
1,5,0.1,0.6028795671119563,-0.617
2,5,0.2,0.6028795671119563,-0.617
3,5,0.30000000000000004,0.6004298134729869,-0.617
4,5,0.4,0.6619142691896838,-0.576
5,5,0.5,0.6619142691896838,-0.576
6,5,0.6000000000000001,0.6431878950271054,-0.589
7,5,0.7000000000000001,0.67081564346858,-0.573
8,5,0.8,0.619271116865564,-0.606
9,5,0.9,0.6353550781294679,-0.598
10,6,0.0,0.7183413019853845,-0.478
11,6,0.1,0.7183413019853845,-0.478
12,6,0.2,0.7263015671614743,-0.472
13,6,0.30000000000000004,0.7263015671614743,-0.472
14,6,0.4,0.7271887836540197,-0.471
15,6,0.5,0.7296722743167158,-0.47
16,6,0.6000000000000001,0.7304277686551314,-0.469
17,6,0.7000000000000001,0.7203779148431646,-0.476
18,6,0.8,0.7318485303490987,-0.469
19,6,0.9,0.7531281569367339,-0.454
20,7,0.0,0.7362452576916009,-0.408
21,7,0.1,0.7362452576916009,-0.408
22,7,0.2,0.7362452576916009,-0.408
23,7,0.30000000000000004,0.7419658141184543,-0.403
24,7,0.4,0.7425825785639841,-0.402
25,7,0.5,0.7641353856703949,-0.385
26,7,0.6000000000000001,0.7281918366150746,-0.414
27,7,0.7000000000000001,0.7347234430413876,-0.403
28,7,0.8,0.7429715629273307,-0.395
29,7,0.9,0.7526997119383273,-0.396
30,8,0.0,0.5722393210965261,-0.527
31,8,0.1,0.5766855668166834,-0.523
32,8,0.2,0.5766855668166834,-0.523
33,8,0.30000000000000004,0.5813715365772029,-0.519
34,8,0.4,0.6075001165918169,-0.498
35,8,0.5,0.6083393528493897,-0.497
36,8,0.6000000000000001,0.6163856366394995,-0.49
37,8,0.7000000000000001,0.616113951452209,-0.494
38,8,0.8,0.6424346164387779,-0.48
39,8,0.9,0.6353567593025083,-0.486
40,9,0.0,0.7992798989303704,-0.402
41,9,0.1,0.7992798989303704,-0.402
42,9,0.2,0.7967859588790787,-0.403
43,9,0.30000000000000004,0.7967859588790787,-0.403
44,9,0.4,0.7967859588790787,-0.403
45,9,0.5,0.8031160282014952,-0.399
46,9,0.6000000000000001,0.8118895970032087,-0.392
47,9,0.7000000000000001,0.8211023655446189,-0.385
48,9,0.8,0.8504645772206614,-0.363
49,9,0.9,0.8802880428621592,-0.349
50,10,0.0,1.1461520012506554,-0.331
51,10,0.1,1.1461520012506554,-0.331
52,10,0.2,1.1461520012506554,-0.331
53,10,0.30000000000000004,1.1467368370375444,-0.331
54,10,0.4,1.1806691515334207,-0.331
55,10,0.5,1.1659778308645297,-0.339
56,10,0.6000000000000001,1.1614938767637817,-0.339
57,10,0.7000000000000001,1.1520108043175066,-0.345
58,10,0.8,1.113887142699224,-0.357
59,10,0.9,1.090904187830072,-0.359
60,11,0.0,0.9258849021499195,-0.498
61,11,0.1,0.9258849021499195,-0.498
62,11,0.2,0.9258849021499195,-0.498
63,11,0.30000000000000004,0.9258849021499195,-0.498
64,11,0.4,0.8772169080891358,-0.498
65,11,0.5,0.8657286883941473,-0.498
66,11,0.6000000000000001,0.8734499862727985,-0.494
67,11,0.7000000000000001,0.8863020822783997,-0.489
68,11,0.8,0.9229030271777755,-0.468
69,11,0.9,0.9134778173191141,-0.475
70,12,0.0,0.8189563459621716,-0.508
71,12,0.1,0.8189563459621716,-0.508
72,12,0.2,0.8189563459621716,-0.508
73,12,0.30000000000000004,0.8189563459621716,-0.508
74,12,0.4,0.8189563459621716,-0.508
75,12,0.5,0.8189563459621716,-0.508
76,12,0.6000000000000001,0.8160877191695051,-0.513
77,12,0.7000000000000001,0.7495772384020684,-0.524
78,12,0.8,0.7729570845857491,-0.509
79,12,0.9,0.7694172182569484,-0.502
80,13,0.0,0.5409321327091225,-0.644
81,13,0.1,0.5409321327091225,-0.644
82,13,0.2,0.5409321327091225,-0.644
83,13,0.30000000000000004,0.5409321327091225,-0.644
84,13,0.4,0.5373853891407935,-0.646
85,13,0.5,0.5409562061926745,-0.644
86,13,0.6000000000000001,0.5445852928319197,-0.641
87,13,0.7000000000000001,0.5654921685440131,-0.628
88,13,0.8,0.5531357208143158,-0.615
89,13,0.9,0.6227012667368668,-0.575
90,14,0.0,0.8454603137997283,-0.558
91,14,0.1,0.8454603137997283,-0.558
92,14,0.2,0.8454603137997283,-0.558
93,14,0.30000000000000004,0.8454603137997283,-0.558
94,14,0.4,0.8467219294746459,-0.558
95,14,0.5,0.8439244946144631,-0.558
96,14,0.6000000000000001,0.8460726930108015,-0.557
97,14,0.7000000000000001,0.8421524485030523,-0.558
98,14,0.8,0.8427523811401938,-0.549
99,14,0.9,0.808108820123252,-0.564
100,15,0.0,0.624731638186849,-0.648
101,15,0.1,0.624731638186849,-0.648
102,15,0.2,0.624731638186849,-0.648
103,15,0.30000000000000004,0.624731638186849,-0.648
104,15,0.4,0.624731638186849,-0.648
105,15,0.5,0.6286981874388118,-0.647
106,15,0.6000000000000001,0.6161136616674188,-0.648
107,15,0.7000000000000001,0.6207465834354717,-0.646
108,15,0.8,0.6413564629454312,-0.634
109,15,0.9,0.6267915889067106,-0.629
110,16,0.0,0.8585444358156957,-0.502
111,16,0.1,0.8585444358156957,-0.502
112,16,0.2,0.8585444358156957,-0.502
113,16,0.30000000000000004,0.8585444358156957,-0.502
114,16,0.4,0.8585444358156957,-0.502
115,16,0.5,0.8854096113628434,-0.499
116,16,0.6000000000000001,0.9190712705082645,-0.499
117,16,0.7000000000000001,0.9115133827032172,-0.506
118,16,0.8,1.017677219736532,-0.455
119,16,0.9,1.0370593918231386,-0.452
120,17,0.0,0.7800964270878389,-0.476
121,17,0.1,0.7800964270878389,-0.476
122,17,0.2,0.7800964270878389,-0.476
123,17,0.30000000000000004,0.7800964270878389,-0.476
124,17,0.4,0.7665514627412007,-0.476
125,17,0.5,0.7809442655553871,-0.476
126,17,0.6000000000000001,0.7728789176367856,-0.482
127,17,0.7000000000000001,0.8475131697845818,-0.441
128,17,0.8,0.8706500244647559,-0.441
129,17,0.9,0.9127427034797359,-0.426
130,18,0.0,0.8729300469684735,-0.37
131,18,0.1,0.8729300469684735,-0.37
132,18,0.2,0.8729300469684735,-0.37
133,18,0.30000000000000004,0.8729300469684735,-0.37
134,18,0.4,0.8729300469684735,-0.37
135,18,0.5,0.8502511625118369,-0.376
136,18,0.6000000000000001,0.8502511625118369,-0.376
137,18,0.7000000000000001,0.862021953848337,-0.368
138,18,0.8,0.8950685661712215,-0.371
139,18,0.9,0.9185660027797182,-0.36
140,19,0.0,0.7686703255154724,-0.429
141,19,0.1,0.7686703255154724,-0.429
142,19,0.2,0.7686703255154724,-0.429
143,19,0.30000000000000004,0.7686703255154724,-0.429
144,19,0.4,0.7686703255154724,-0.429
145,19,0.5,0.7725562836220918,-0.426
146,19,0.6000000000000001,0.7591230605696925,-0.426
147,19,0.7000000000000001,0.7658568170693343,-0.419
148,19,0.8,0.7652675610473282,-0.419
149,19,0.9,0.7719046051397023,-0.412
150,20,0.0,0.8417718460714502,-0.46
151,20,0.1,0.8417718460714502,-0.46
152,20,0.2,0.8417718460714502,-0.46
153,20,0.30000000000000004,0.8417718460714502,-0.46
154,20,0.4,0.8417718460714502,-0.46
155,20,0.5,0.8417718460714502,-0.46
156,20,0.6000000000000001,0.8417718460714502,-0.46
157,20,0.7000000000000001,0.8211868399103964,-0.46
158,20,0.8,0.8202595504897707,-0.453
159,20,0.9,0.8106829276750946,-0.458
160,21,0.0,0.7779497799338336,-0.427
161,21,0.1,0.7779497799338336,-0.427
162,21,0.2,0.7779497799338336,-0.427
163,21,0.30000000000000004,0.7779497799338336,-0.427
164,21,0.4,0.7779497799338336,-0.427
165,21,0.5,0.7779497799338336,-0.427
166,21,0.6000000000000001,0.7828744024326875,-0.427
167,21,0.7000000000000001,0.7828744024326875,-0.427
168,21,0.8,0.7828744024326875,-0.427
169,21,0.9,0.796190431460322,-0.418
170,22,0.0,0.8631980462642398,-0.396
171,22,0.1,0.8631980462642398,-0.396
172,22,0.2,0.8631980462642398,-0.396
173,22,0.30000000000000004,0.8631980462642398,-0.396
174,22,0.4,0.8631980462642398,-0.396
175,22,0.5,0.8631980462642398,-0.396
176,22,0.6000000000000001,0.8547530857767665,-0.396
177,22,0.7000000000000001,0.8547530857767665,-0.396
178,22,0.8,0.8446531311165143,-0.403
179,22,0.9,0.8797458130119995,-0.378
180,23,0.0,0.6451270747674804,-0.495
181,23,0.1,0.6451270747674804,-0.495
182,23,0.2,0.6451270747674804,-0.495
183,23,0.30000000000000004,0.6451270747674804,-0.495
184,23,0.4,0.6451270747674804,-0.495
185,23,0.5,0.6451270747674804,-0.495
186,23,0.6000000000000001,0.6451270747674804,-0.495
187,23,0.7000000000000001,0.648557443834465,-0.492
188,23,0.8,0.5816191979473732,-0.518
189,23,0.9,0.5958157116251066,-0.506
190,24,0.0,0.670324854576319,-0.485
191,24,0.1,0.670324854576319,-0.485
192,24,0.2,0.670324854576319,-0.485
193,24,0.30000000000000004,0.670324854576319,-0.485
194,24,0.4,0.670324854576319,-0.485
195,24,0.5,0.670324854576319,-0.485
196,24,0.6000000000000001,0.670324854576319,-0.485
197,24,0.7000000000000001,0.6917482994090158,-0.468
198,24,0.8,0.6551320380559366,-0.495
199,24,0.9,0.648800363582371,-0.489
200,25,0.0,0.7383377138589127,-0.477
201,25,0.1,0.7383377138589127,-0.477
202,25,0.2,0.7383377138589127,-0.477
203,25,0.30000000000000004,0.7383377138589127,-0.477
204,25,0.4,0.7383377138589127,-0.477
205,25,0.5,0.7383377138589127,-0.477
206,25,0.6000000000000001,0.7323907013638384,-0.481
207,25,0.7000000000000001,0.7323907013638384,-0.481
